Id;Bogføringsdag;Handelsdag;Valørdag;Transaktionstype;Værdipapirer;Instrumenttyp;ISIN;Antal;Kurs;Rente;Afgifter;Beløb;Valuta;Indkøbsværdi;Resultat;Totalt antal;Saldo;Vekslingskurs;Transaktionstekst;Makuleringsdato;Verifikations-/Notanummer
527121143;2018-12-31;2018-12-31;2019-01-01;OVERBELÅNINGSRENTE;;;;0;0,00;0,0000;0,00;-0,03;DKK;0,00;0,00;0,00;-33,63;1,00;;;226907181
527041936;2018-12-31;2018-12-31;2019-01-01;DEPOTRENTE;;;;0;0,00;0,0000;0,00;-0,03;DKK;0,00;0,00;0,00;-33,60;1,00;;;226907180
526097763;2018-12-21;2018-12-21;2018-12-28;KØBT;IVSO;Aktie;SE0001200015;158;57,50;0,0000;42,94;-6.656,00;DKK;34.403,00;0,00;578,00;-33,57;0,73;;;611540073
526096234;2018-12-21;2018-12-21;2018-12-28;SOLGT;TRMD A;Aktie;GB00BZ3CNK81;150;43,50;0,0000;29,00;6.496,00;DKK;22.462,39;-5.983,11;270,00;6.622,43;1,00;;;611539309
525809571;2018-12-20;2018-12-20;2018-12-27;KØBT;DNORD;Aktie;DK0060083210;110;90,00;0,0000;29,00;-9.929,00;DKK;73.526,40;0,00;667,00;126,43;1,00;;;611437078
525809168;2018-12-20;2018-12-20;2018-12-27;KØBT;PNDORA;Aktie;DK0060252690;40;268,4000;0,0000;29,00;-10.765,00;DKK;107.241,50;0,00;190,00;10.055,43;1,00;;;611436876
525436782;2018-12-19;2018-12-19;2018-12-19;INDBETALING;;;;0;0,00;0,0000;0,00;20.000,00;DKK;0,00;0,00;0,00;20.820,43;1,00;OVERFORSEL BAS;;226772809
523277143;2018-12-07;2018-11-29;2018-12-06;UDB.;TNP;Aktie;BMG9108L1081;2.250;0,05;0,0000;0,00;738,18;DKK;0,00;0,00;0,00;820,43;1,00;UDBYTTE TNP 0.05 USD/AKSJE;;226646885
518598663;2018-11-19;2018-11-19;2018-11-21;KØBT;NKT;Aktie;DK0010287663;126;84,35;0,0000;10,63;-10.638,73;DKK;33.087,73;0,00;316,00;82,25;1,00;;;608852301
518236235;2018-11-16;2018-11-16;2018-11-16;INDBETALING;;;;0;0,00;0,0000;0,00;10.000,00;DKK;0,00;0,00;0,00;10.720,98;1,00;OVERFORSEL;;226312224
518080353;2018-11-15;2018-11-12;2018-11-16;KUPSKAT;HM B;Aktie;SE0000106270;157;0,00;15,0000;0,00;-83,05;DKK;0,00;0,00;0,00;720,98;1,00;UDBYTTE HM B 4,85 SEK/AKSJE;;226300405
518080351;2018-11-15;2018-11-12;2018-11-16;UDB.;HM B;Aktie;SE0000106270;157;4,8500;0,0000;0,00;553,66;DKK;0,00;0,00;0,00;804,03;1,00;UDBYTTE HM B 4,85 SEK/AKSJE;;226300405
517340377;2018-11-13;2018-11-13;2018-11-15;KØBT;NKT;Aktie;DK0010287663;190;118,00;0,0000;29,00;-22.449,00;DKK;22.449,00;0,00;190,00;250,37;1,00;;;608426161
